Date,Description,Category,Amount,Type
2026-03-24,Internet,Bills,1299,Expense
2026-03-26,Ola,Transport,1176,Expense
2026-03-29,Mobile Bill,Bills,1544,Expense
2026-03-30,Local Store,Shopping,314,Expense
2026-03-31,Internet,Bills,1103,Expense
2026-03-31,Course,Education,2142,Expense
2026-03-31,Cafe,Food,875,Expense
2026-04-01,Monthly Salary,Income,55000,Income
2026-04-02,Hospital,Healthcare,487,Expense
2026-04-04,Movie,Entertainment,1978,Expense
2026-04-05,Pharmacy,Healthcare,2344,Expense
2026-04-08,Spotify,Entertainment,422,Expense
2026-04-08,Ola,Transport,882,Expense
2026-04-08,Amazon,Shopping,1067,Expense
2026-04-08,Netflix,Entertainment,1716,Expense
2026-04-10,Internet,Bills,1971,Expense
2026-04-10,Flight Tickets,Transport,27000,Expense
2026-04-13,Spotify,Entertainment,1732,Expense
2026-04-14,Amazon,Shopping,2402,Expense
2026-04-15,Ola,Transport,746,Expense
2026-04-17,Pharmacy,Healthcare,2186,Expense
2026-04-18,Swiggy,Food,1779,Expense
2026-04-18,Swiggy,Food,1354,Expense
2026-04-21,Swiggy,Food,1551,Expense
2026-04-22,Medicine,Healthcare,1804,Expense
2026-04-23,Pharmacy,Healthcare,930,Expense
2026-04-23,Flipkart,Shopping,2097,Expense
2026-04-24,Amazon,Shopping,2442,Expense
2026-04-25,Gaming,Entertainment,1155,Expense
2026-04-26,Local Store,Shopping,1233,Expense
2026-04-28,Fuel,Transport,758,Expense
2026-04-29,Spotify,Entertainment,1461,Expense
2026-04-29,Myntra,Shopping,2121,Expense
2026-04-29,Flipkart,Shopping,751,Expense
2026-05-01,Monthly Salary,Income,55000,Income
2026-05-01,Course,Education,1558,Expense
2026-05-02,Restaurant,Food,1367,Expense
2026-05-02,Local Store,Shopping,914,Expense
2026-05-02,Hospital,Healthcare,2321,Expense
2026-05-03,Restaurant,Food,1221,Expense
2026-05-03,Metro,Transport,1630,Expense
2026-05-04,Pharmacy,Healthcare,758,Expense
2026-05-05,Wedding Gift,Shopping,30000,Expense
2026-05-08,Gaming,Entertainment,1869,Expense
2026-05-10,Pharmacy,Healthcare,992,Expense
2026-05-12,Internet,Bills,1779,Expense
2026-05-13,Hospital,Healthcare,2081,Expense
2026-05-13,Ola,Transport,1342,Expense
2026-05-14,Swiggy,Food,1987,Expense
2026-05-14,Metro,Transport,142,Expense
2026-05-17,Course,Education,426,Expense
2026-05-17,Zomato,Food,297,Expense
2026-05-18,Rent,Bills,2225,Expense
2026-05-19,Zomato,Food,1940,Expense
2026-05-21,Ola,Transport,862,Expense
2026-05-21,Local Store,Shopping,1282,Expense
2026-05-23,Rent,Bills,443,Expense
2026-05-24,Mobile Bill,Bills,606,Expense
2026-05-26,Netflix,Entertainment,1003,Expense
2026-05-27,Hospital,Healthcare,1409,Expense
2026-05-27,Udemy,Education,1483,Expense
2026-05-28,Pharmacy,Healthcare,2152,Expense
2026-05-30,Amazon,Shopping,786,Expense
2026-05-30,Local Store,Shopping,192,Expense
2026-05-31,Medicine,Healthcare,1599,Expense
2026-05-31,Mobile Bill,Bills,1489,Expense
2026-06-01,Monthly Salary,Income,55000,Income
2026-06-03,Ola,Transport,347,Expense
2026-06-05,Electricity,Bills,1998,Expense
2026-06-05,Amazon,Shopping,668,Expense
2026-06-05,Fuel,Transport,1028,Expense
2026-06-05,Udemy,Education,2439,Expense
2026-06-05,Books,Education,1080,Expense
2026-06-07,Metro,Transport,2357,Expense
2026-06-07,Swiggy,Food,1163,Expense
2026-06-09,Metro,Transport,184,Expense
2026-06-10,Ola,Transport,1124,Expense
2026-06-10,Amazon,Shopping,376,Expense
2026-06-12,Course,Education,2333,Expense
2026-06-13,Movie,Entertainment,1983,Expense
2026-06-14,Myntra,Shopping,664,Expense
2026-06-14,Local Store,Shopping,227,Expense
2026-06-15,Zomato,Food,1545,Expense
2026-06-18,Internet,Bills,2036,Expense
2026-06-18,Car Repair,Transport,22000,Expense
2026-06-19,Medicine,Healthcare,1125,Expense
2026-06-20,Uber,Transport,1789,Expense
2026-06-21,Pharmacy,Healthcare,648,Expense
2026-06-21,Rent,Bills,2435,Expense
2026-06-26,Udemy,Education,1531,Expense
2026-06-26,Restaurant,Food,1146,Expense
2026-06-27,Rent,Bills,914,Expense
2026-06-27,Movie,Entertainment,1260,Expense
2026-06-28,Mobile Bill,Bills,1767,Expense
